date,symbol,marketcapname,sector
14-02-2023,BAJFINANCE,Largecap,Finance
14-02-2023,BHEL,Largecap,FMCG
14-02-2023,HINDPETRO,Largecap,Industrials
14-02-2023,SAIL,Largecap,Metals
14-02-2023,FINCABLES,Midcap,Industrials
14-02-2023,GODFRYPHLP,Midcap,FMCG
14-02-2023,KIRLFER,Midcap,Metals
14-02-2023,RELIANCE,Largecap,Industrials
14-02-2023,PATANJALI,Largecap,FMCG
14-02-2023,JINDALSAW,Midcap,Metals
14-02-2023,SHREECEM,Largecap,Industrials
14-02-2023,ACC,Largecap,Industrials
14-02-2023,THERMAX,Largecap,FMCG
14-02-2023,AMBUJACEM,Largecap,Industrials
14-02-2023,HINDALCO,Largecap,Metals
14-02-2023,TATACOMM,Largecap,Telecom
14-02-2023,BOSCHLTD,Largecap,Auto
14-02-2023,GESHIP,Midcap,Services
14-02-2023,GSFC,Midcap,Industrials
14-02-2023,ITC,Largecap,FMCG
14-02-2023,ZENSARTECH,Midcap,I.T
14-02-2023,ZEEL,Largecap,Media
14-02-2023,UPL,Largecap,Industrials
14-02-2023,CAMPUS,Midcap,FMCG
14-02-2023,RAINBOW,Midcap,Pharmaceuticals
14-02-2023,ADANIENT,Largecap,Services
14-02-2023,HAVELLS,Largecap,FMCG
14-02-2023,BIKAJI,Midcap,FMCG
14-02-2023,ACI,Midcap,Industrials
14-02-2023,KAYNES,Midcap,FMCG
14-02-2023,ELGIEQUIP,Midcap,FMCG
14-02-2023,LINDEINDIA,Largecap,Industrials
14-02-2023,POONAWALLA,Largecap,Finance
14-02-2023,RCF,Midcap,Industrials
14-02-2023,IPCALAB,Largecap,Pharmaceuticals
14-02-2023,COCHINSHIP,Midcap,Industrials
14-02-2023,DIXON,Largecap,FMCG
14-02-2023,JUBLPHARMA,Midcap,Pharmaceuticals
14-02-2023,LEMONTREE,Midcap,Services
14-02-2023,ORIENTELEC,Smallcap,FMCG
14-02-2023,FINEORG,Midcap,Industrials
14-02-2023,IRCON,Midcap,Realty
14-02-2023,ZYDUSWELL,Midcap,FMCG
14-02-2023,RVNL,Largecap,Realty
14-02-2023,POLYMED,Midcap,Pharmaceuticals
14-02-2023,UJJIVANSFB,Midcap,Bank
14-02-2023,POWERINDIA,Midcap,FMCG
14-02-2023,ROSSARI,Smallcap,Industrials
14-02-2023,BANKBARODA,Largecap,Bank
14-02-2023,ROUTE,Midcap,I.T
14-02-2023,BANKINDIA,Largecap,Bank
14-02-2023,CYIENT,Midcap,I.T
14-02-2023,MAZDOCK,Largecap,Industrials
14-02-2023,CUB,Midcap,Bank
14-02-2023,NATIONALUM,Midcap,Metals
14-02-2023,APARINDS,Largecap,FMCG
14-02-2023,GLENMARK,Largecap,Pharmaceuticals
14-02-2023,TVSMOTOR,Largecap,Auto
14-02-2023,TRIVENI,Midcap,FMCG
14-02-2023,OLECTRA,Midcap,Auto
14-02-2023,PNB,Largecap,Bank
14-02-2023,UNIONBANK,Largecap,Bank
14-02-2023,CANBK,Largecap,Bank
14-02-2023,SUPRAJIT,Midcap,Auto
14-02-2023,PETRONET,Largecap,Industrials
14-02-2023,MAHABANK,Largecap,Bank
14-02-2023,IIFL,Largecap,Finance
14-02-2023,PVRINOX,Midcap,Media
14-02-2023,GSPL,Midcap,Industrials
14-02-2023,M&MFIN,Largecap,Finance
14-02-2023,ALLCARGO,Midcap,Services
14-02-2023,CIEINDIA,Midcap,Industrials
14-02-2023,NAUKRI,Largecap,I.T
14-02-2023,TV18BRDCST,Midcap,Media
14-02-2023,REDINGTON,Midcap,Services
14-02-2023,PFC,Largecap,Finance
14-02-2023,INDIANB,Largecap,Bank
14-02-2023,ADANIPORTS,Largecap,Realty
14-02-2023,BRIGADE,Midcap,Realty
14-02-2023,IRB,Midcap,Realty
14-02-2023,RECLTD,Largecap,Finance
14-02-2023,OIL,Largecap,Oils
14-02-2023,L&TFH,Largecap,Finance
14-02-2023,RHIM,Midcap,Industrials
14-02-2023,RTNINDIA,Midcap,Miscellaneous
14-02-2023,ABFRL,Largecap,FMCG
14-02-2023,CLEAN,Midcap,Industrials
14-02-2023,VIJAYA,Midcap,Pharmaceuticals
14-02-2023,SHARDACROP,Smallcap,Industrials
14-02-2023,GOCOLORS,Midcap,Textiles
14-02-2023,METROBRAND,Largecap,FMCG
14-02-2023,MGL,Midcap,Industrials
14-02-2023,RBLBANK,Midcap,Bank
15-02-2023,ABB,Largecap,FMCG
15-02-2023,LAURUSLABS,Largecap,Pharmaceuticals
15-02-2023,BALRAMCHIN,Midcap,FMCG
15-02-2023,BLUESTARCO,Midcap,FMCG
15-02-2023,CESC,Midcap,Miscellaneous
15-02-2023,DABUR,Largecap,FMCG
15-02-2023,BHEL,Largecap,FMCG
15-02-2023,MRPL,Midcap,Industrials
15-02-2023,EIDPARRY,Midcap,FMCG
15-02-2023,EPL,Midcap,Services
15-02-2023,FINCABLES,Midcap,Industrials
15-02-2023,GODFRYPHLP,Midcap,FMCG
15-02-2023,TRENT,Largecap,FMCG
15-02-2023,RAMCOCEM,Largecap,Industrials
15-02-2023,MFSL,Largecap,Finance
15-02-2023,RELIANCE,Largecap,Industrials
15-02-2023,PRSMJOHNSN,Midcap,Industrials
15-02-2023,JINDALSAW,Midcap,Metals
15-02-2023,JKLAKSHMI,Midcap,Industrials
15-02-2023,SHREECEM,Largecap,Industrials
15-02-2023,ACC,Largecap,Industrials
15-02-2023,AMBUJACEM,Largecap,Industrials
15-02-2023,CUMMINSIND,Largecap,FMCG
15-02-2023,BHARATFORG,Largecap,Industrials
15-02-2023,ESCORTS,Largecap,Auto
15-02-2023,BOSCHLTD,Largecap,Auto
15-02-2023,SIEMENS,Largecap,FMCG
15-02-2023,BBTC,Midcap,Miscellaneous
15-02-2023,BALKRISIND,Largecap,Auto
15-02-2023,VTL,Midcap,Textiles
15-02-2023,ZENSARTECH,Midcap,I.T
15-02-2023,EICHERMOT,Largecap,Auto
15-02-2023,GRINDWELL,Largecap,FMCG
15-02-2023,DEEPAKNTR,Largecap,Industrials
15-02-2023,PCBL,Midcap,Industrials
15-02-2023,APOLLOHOSP,Largecap,Pharmaceuticals
15-02-2023,HEG,Midcap,FMCG
15-02-2023,SUPREMEIND,Largecap,FMCG
15-02-2023,AWL,Largecap,FMCG
15-02-2023,SUNTECK,Midcap,Realty
15-02-2023,HAVELLS,Largecap,FMCG
15-02-2023,KEI,Largecap,Industrials
15-02-2023,ACI,Midcap,Industrials
15-02-2023,KAYNES,Midcap,FMCG
15-02-2023,ALOKINDS,Midcap,Textiles
15-02-2023,SAFARI,Midcap,FMCG
15-02-2023,LINDEINDIA,Largecap,Industrials
15-02-2023,POLYPLEX,Smallcap,Services
15-02-2023,RCF,Midcap,Industrials
15-02-2023,DMART,Largecap,FMCG
15-02-2023,TEJASNET,Midcap,Telecom
15-02-2023,NATCOPHARM,Midcap,Pharmaceuticals
15-02-2023,NMDC,Largecap,Industrials
15-02-2023,BLUEDART,Midcap,Services
15-02-2023,SBILIFE,Largecap,Services
15-02-2023,GICRE,Largecap,Services
15-02-2023,NIACL,Largecap,Services
15-02-2023,BANDHANBNK,Largecap,Bank
15-02-2023,ISEC,Largecap,Services
15-02-2023,FINEORG,Midcap,Industrials
15-02-2023,CREDITACC,Largecap,Finance
15-02-2023,BCG,Smallcap,I.T
15-02-2023,ZYDUSWELL,Midcap,FMCG
15-02-2023,CHALET,Midcap,Services
15-02-2023,RVNL,Largecap,Realty
15-02-2023,KPITTECH,Largecap,I.T
15-02-2023,IRCTC,Largecap,Miscellaneous
15-02-2023,BORORENEW,Midcap,Industrials
15-02-2023,POWERINDIA,Midcap,FMCG
15-02-2023,WELCORP,Midcap,Metals
15-02-2023,CAMS,Midcap,Miscellaneous
15-02-2023,VAIBHAVGBL,Midcap,Miscellaneous
15-02-2023,JKPAPER,Midcap,Industrials
15-02-2023,UTIAMC,Midcap,Finance
15-02-2023,MAZDOCK,Largecap,Industrials
15-02-2023,APARINDS,Largecap,FMCG
15-02-2023,GLENMARK,Largecap,Pharmaceuticals
15-02-2023,TVSMOTOR,Largecap,Auto
15-02-2023,TRIVENI,Midcap,FMCG
15-02-2023,TTML,Midcap,Telecom
15-02-2023,BSOFT,Midcap,I.T
15-02-2023,MCDOWELL-N,Largecap,FMCG
15-02-2023,OLECTRA,Midcap,Auto
15-02-2023,CERA,Midcap,Industrials
15-02-2023,CANBK,Largecap,Bank
15-02-2023,RADICO,Midcap,FMCG
15-02-2023,JSL,Largecap,Metals
15-02-2023,BIOCON,Largecap,Pharmaceuticals
15-02-2023,SUZLON,Largecap,FMCG
15-02-2023,TECHM,Largecap,I.T
15-02-2023,NAUKRI,Largecap,I.T
15-02-2023,TORNTPOWER,Largecap,Miscellaneous
15-02-2023,FSL,Midcap,I.T
15-02-2023,PFC,Largecap,Finance
15-02-2023,DLF,Largecap,Realty
15-02-2023,CENTRALBK,Largecap,Bank
15-02-2023,KPRMILL,Largecap,FMCG
15-02-2023,BRIGADE,Midcap,Realty
15-02-2023,RECLTD,Largecap,Finance
15-02-2023,BAJAJFINSV,Largecap,Finance
15-02-2023,MHRIL,Midcap,Services
15-02-2023,JSWENERGY,Largecap,Miscellaneous
15-02-2023,GODREJPROP,Largecap,Realty
15-02-2023,PERSISTENT,Largecap,I.T
15-02-2023,SJVN,Largecap,Miscellaneous
15-02-2023,GPPL,Midcap,Industrials
15-02-2023,OBEROIRLTY,Largecap,Realty
15-02-2023,TRITURBINE,Midcap,FMCG
15-02-2023,IRFC,Largecap,Finance
15-02-2023,INDUSTOWER,Largecap,Telecom
15-02-2023,KALYANKJIL,Largecap,Miscellaneous
15-02-2023,ABFRL,Largecap,FMCG
15-02-2023,IBULHSGFIN,Midcap,Finance
15-02-2023,SONACOMS,Largecap,Auto
15-02-2023,SHYAMMETL,Midcap,Metals
15-02-2023,APTUS,Midcap,Finance
15-02-2023,SHARDACROP,Smallcap,Industrials
15-02-2023,STARHEALTH,Largecap,Services
15-02-2023,MAPMYINDIA,Midcap,I.T
15-02-2023,METROBRAND,Largecap,FMCG
15-02-2023,INTELLECT,Midcap,I.T
15-02-2023,MINDACORP,Midcap,Auto
15-02-2023,GUJGASLTD,Largecap,Industrials
15-02-2023,TEAMLEASE,Smallcap,Miscellaneous
15-02-2023,CROMPTON,Midcap,FMCG
15-02-2023,LTIM,Largecap,I.T
15-02-2023,VBL,Largecap,FMCG
16-02-2023,ATUL,Largecap,Industrials
16-02-2023,BEML,Midcap,FMCG
16-02-2023,BEL,Largecap,FMCG
16-02-2023,BLUESTARCO,Midcap,FMCG
16-02-2023,BHEL,Largecap,FMCG
16-02-2023,FINCABLES,Midcap,Industrials
16-02-2023,KIRLFER,Midcap,Metals
16-02-2023,ONGC,Largecap,Oils
16-02-2023,RAYMOND,Midcap,Textiles
16-02-2023,PRSMJOHNSN,Midcap,Industrials
16-02-2023,PATANJALI,Largecap,FMCG
16-02-2023,BHARATFORG,Largecap,Industrials
16-02-2023,ESCORTS,Largecap,Auto
16-02-2023,GESHIP,Midcap,Services
16-02-2023,DEEPAKFERT,Midcap,Industrials
16-02-2023,GNFC,Midcap,Industrials
16-02-2023,NESTLEIND,Largecap,FMCG
16-02-2023,APOLLOTYRE,Largecap,Auto
16-02-2023,PHOENIXLTD,Largecap,Realty
16-02-2023,SRF,Largecap,Industrials
16-02-2023,ZENSARTECH,Midcap,I.T
16-02-2023,SCHAEFFLER,Largecap,Industrials
16-02-2023,PCBL,Midcap,Industrials
16-02-2023,APOLLOHOSP,Largecap,Pharmaceuticals
16-02-2023,SUPREMEIND,Largecap,FMCG
16-02-2023,AWL,Largecap,FMCG
16-02-2023,MANYAVAR,Largecap,FMCG
16-02-2023,SUNTECK,Midcap,Realty
16-02-2023,DELHIVERY,Largecap,Services
16-02-2023,NLCINDIA,Midcap,Miscellaneous
16-02-2023,PPLPHARMA,Midcap,Pharmaceuticals
16-02-2023,MEDANTA,Largecap,Pharmaceuticals
16-02-2023,KEI,Largecap,Industrials
16-02-2023,ACI,Midcap,Industrials
16-02-2023,KAYNES,Midcap,FMCG
16-02-2023,CCL,Midcap,FMCG
16-02-2023,KPIL,Midcap,FMCG
16-02-2023,3MINDIA,Largecap,Miscellaneous
16-02-2023,LINDEINDIA,Largecap,Industrials
16-02-2023,PIIND,Largecap,Industrials
16-02-2023,MASTEK,Midcap,I.T
16-02-2023,POONAWALLA,Largecap,Finance
16-02-2023,IPCALAB,Largecap,Pharmaceuticals
16-02-2023,HUDCO,Midcap,Finance
16-02-2023,TEJASNET,Midcap,Telecom
16-02-2023,COCHINSHIP,Midcap,Industrials
16-02-2023,MPHASIS,Largecap,I.T
16-02-2023,NMDC,Largecap,Industrials
16-02-2023,GICRE,Largecap,Services
16-02-2023,NIACL,Largecap,Services
16-02-2023,GUJALKALI,Midcap,Industrials
16-02-2023,ASTERDM,Midcap,Pharmaceuticals
16-02-2023,BDL,Midcap,FMCG
16-02-2023,HAL,Largecap,FMCG
16-02-2023,ADANIGREEN,Largecap,Miscellaneous
16-02-2023,CREDITACC,Largecap,Finance
16-02-2023,BALAMINES,Midcap,Industrials
16-02-2023,BCG,Smallcap,I.T
16-02-2023,METROPOLIS,Midcap,Pharmaceuticals
16-02-2023,KPITTECH,Largecap,I.T
16-02-2023,FLUOROCHEM,Largecap,Industrials
16-02-2023,POLYMED,Midcap,Pharmaceuticals
16-02-2023,BORORENEW,Midcap,Industrials
16-02-2023,MAXHEALTH,Largecap,Pharmaceuticals
16-02-2023,ROUTE,Midcap,I.T
16-02-2023,MAZDOCK,Largecap,Industrials
16-02-2023,CUB,Midcap,Bank
16-02-2023,NATIONALUM,Midcap,Metals
16-02-2023,APARINDS,Largecap,FMCG
16-02-2023,MAHLIFE,Midcap,Realty
16-02-2023,NAVINFLUOR,Midcap,Industrials
16-02-2023,SUPRAJIT,Midcap,Auto
16-02-2023,BIOCON,Largecap,Pharmaceuticals
16-02-2023,COFORGE,Largecap,I.T
16-02-2023,SHOPERSTOP,Midcap,FMCG
16-02-2023,RENUKA,Midcap,FMCG
16-02-2023,M&MFIN,Largecap,Finance
16-02-2023,SOLARINDS,Largecap,Industrials
16-02-2023,GMRINFRA,Largecap,Realty
16-02-2023,TECHM,Largecap,I.T
16-02-2023,SOBHA,Midcap,Realty
16-02-2023,TANLA,Midcap,I.T
16-02-2023,DLF,Largecap,Realty
16-02-2023,SPARC,Midcap,Miscellaneous
16-02-2023,KPRMILL,Largecap,FMCG
16-02-2023,ECLERX,Midcap,I.T
16-02-2023,ADANIPOWER,Largecap,Miscellaneous
16-02-2023,OIL,Largecap,Oils
16-02-2023,JUBLFOOD,Largecap,Quick Service Restaurant
16-02-2023,OBEROIRLTY,Largecap,Realty
16-02-2023,APLLTD,Midcap,Pharmaceuticals
16-02-2023,APLAPOLLO,Largecap,Metals
16-02-2023,RHIM,Midcap,Industrials
16-02-2023,MCX,Midcap,Miscellaneous
16-02-2023,CRAFTSMAN,Midcap,Auto
16-02-2023,NAZARA,Midcap,I.T
16-02-2023,ABFRL,Largecap,FMCG
16-02-2023,SHARDACROP,Smallcap,Industrials
16-02-2023,SAPPHIRE,Midcap,Quick Service Restaurant
16-02-2023,MINDACORP,Midcap,Auto
16-02-2023,MGL,Midcap,Industrials
16-02-2023,LTIM,Largecap,I.T
16-02-2023,LTTS,Largecap,I.T
16-02-2023,PNBHOUSING,Midcap,Finance
17-02-2023,AEGISCHEM,Midcap,Services
17-02-2023,FINCABLES,Midcap,Industrials
17-02-2023,KSB,Midcap,FMCG
17-02-2023,RAYMOND,Midcap,Textiles
17-02-2023,SHREECEM,Largecap,Industrials
17-02-2023,AMBUJACEM,Largecap,Industrials
17-02-2023,LT,Largecap,Realty
17-02-2023,GESHIP,Midcap,Services
17-02-2023,BALKRISIND,Largecap,Auto
17-02-2023,SCHAEFFLER,Largecap,Industrials
17-02-2023,GRINDWELL,Largecap,FMCG
17-02-2023,GRAPHITE,Midcap,FMCG
17-02-2023,AWL,Largecap,FMCG
17-02-2023,MANYAVAR,Largecap,FMCG
17-02-2023,SUNTECK,Midcap,Realty
17-02-2023,MSUMI,Largecap,Auto
17-02-2023,CAMPUS,Midcap,FMCG
17-02-2023,RAINBOW,Midcap,Pharmaceuticals
17-02-2023,DELHIVERY,Largecap,Services
17-02-2023,AETHER,Midcap,Industrials
17-02-2023,MMTC,Midcap,Services
17-02-2023,WELSPUNIND,Midcap,Textiles
17-02-2023,MEDANTA,Largecap,Pharmaceuticals
17-02-2023,KEI,Largecap,Industrials
17-02-2023,TIMKEN,Largecap,Industrials
17-02-2023,SAFARI,Midcap,FMCG
17-02-2023,JMFINANCIL,Midcap,Finance
17-02-2023,BLUEDART,Midcap,Services
17-02-2023,ASTERDM,Midcap,Pharmaceuticals
17-02-2023,ORIENTELEC,Smallcap,FMCG
17-02-2023,FINEORG,Midcap,Industrials
17-02-2023,AAVAS,Midcap,Finance
17-02-2023,RAJESHEXPO,Midcap,Miscellaneous
17-02-2023,FLUOROCHEM,Largecap,Industrials
17-02-2023,ROUTE,Midcap,I.T
17-02-2023,VAIBHAVGBL,Midcap,Miscellaneous
17-02-2023,GODREJCP,Largecap,FMCG
17-02-2023,RADICO,Midcap,FMCG
17-02-2023,JSL,Largecap,Metals
17-02-2023,SUPRAJIT,Midcap,Auto
17-02-2023,UNOMINDA,Largecap,Auto
17-02-2023,JBMA,Midcap,Auto
17-02-2023,JKCEMENT,Largecap,Industrials
17-02-2023,GSPL,Midcap,Industrials
17-02-2023,SOBHA,Midcap,Realty
17-02-2023,TANLA,Midcap,I.T
17-02-2023,NETWORK18,Midcap,Media
17-02-2023,TV18BRDCST,Midcap,Media
17-02-2023,IDEA,Largecap,Telecom
17-02-2023,KPRMILL,Largecap,FMCG
17-02-2023,ADANIPOWER,Largecap,Miscellaneous
17-02-2023,SJVN,Largecap,Miscellaneous
17-02-2023,GPPL,Midcap,Industrials
17-02-2023,PRESTIGE,Largecap,Realty
17-02-2023,HOMEFIRST,Midcap,Finance
17-02-2023,VMART,Smallcap,FMCG
17-02-2023,ANURAS,Midcap,Industrials
17-02-2023,ZOMATO,Largecap,I.T
17-02-2023,EPIGRAL,Smallcap,Industrials
17-02-2023,NUVOCO,Midcap,Industrials
17-02-2023,DATAPATTNS,Midcap,FMCG
17-02-2023,QUESS,Midcap,Miscellaneous
17-02-2023,VBL,Largecap,FMCG
20-02-2023,KARURVYSYA,Midcap,Bank
20-02-2023,CRISIL,Largecap,Miscellaneous
20-02-2023,IDBI,Largecap,Bank
20-02-2023,KIRLFER,Midcap,Metals
20-02-2023,RAMCOCEM,Largecap,Industrials
20-02-2023,JINDALSAW,Midcap,Metals
20-02-2023,SHREECEM,Largecap,Industrials
20-02-2023,ACC,Largecap,Industrials
20-02-2023,VOLTAS,Largecap,FMCG
20-02-2023,GESHIP,Midcap,Services
20-02-2023,GLAXO,Largecap,Pharmaceuticals
20-02-2023,GNFC,Midcap,Industrials
20-02-2023,ZENSARTECH,Midcap,I.T
20-02-2023,SUPREMEIND,Largecap,FMCG
20-02-2023,CANFINHOME,Midcap,Finance
20-02-2023,AWL,Largecap,FMCG
20-02-2023,RAINBOW,Midcap,Pharmaceuticals
20-02-2023,ADANIENT,Largecap,Services
20-02-2023,DELHIVERY,Largecap,Services
20-02-2023,CARBORUNIV,Largecap,FMCG
20-02-2023,KEI,Largecap,Industrials
20-02-2023,KAYNES,Midcap,FMCG
20-02-2023,KFINTECH,Midcap,Miscellaneous
20-02-2023,ELGIEQUIP,Midcap,FMCG
20-02-2023,NSLNISP,Midcap,Metals
20-02-2023,KPIL,Midcap,FMCG
20-02-2023,LINDEINDIA,Largecap,Industrials
20-02-2023,PIIND,Largecap,Industrials
20-02-2023,MASTEK,Midcap,I.T
20-02-2023,GAEL,Midcap,FMCG
20-02-2023,NATCOPHARM,Midcap,Pharmaceuticals
20-02-2023,IEX,Midcap,Miscellaneous
20-02-2023,TIINDIA,Largecap,Auto
20-02-2023,INDIACEM,Midcap,Industrials
20-02-2023,ASTERDM,Midcap,Pharmaceuticals
20-02-2023,BDL,Midcap,FMCG
20-02-2023,FINEORG,Midcap,Industrials
20-02-2023,CREDITACC,Largecap,Finance
20-02-2023,FDC,Midcap,Pharmaceuticals
20-02-2023,POLYMED,Midcap,Pharmaceuticals
20-02-2023,SUMICHEM,Largecap,Industrials
20-02-2023,HAPPSTMNDS,Midcap,I.T
20-02-2023,VAIBHAVGBL,Midcap,Miscellaneous
20-02-2023,CYIENT,Midcap,I.T
20-02-2023,SONATSOFTW,Midcap,I.T
20-02-2023,AJANTPHARM,Largecap,Pharmaceuticals
20-02-2023,TVSMOTOR,Largecap,Auto
20-02-2023,CERA,Midcap,Industrials
20-02-2023,DIVISLAB,Largecap,Pharmaceuticals
20-02-2023,NAVINFLUOR,Midcap,Industrials
20-02-2023,JSL,Largecap,Metals
20-02-2023,COFORGE,Largecap,I.T
20-02-2023,JBMA,Midcap,Auto
20-02-2023,JKCEMENT,Largecap,Industrials
20-02-2023,YESBANK,Largecap,Bank
20-02-2023,IDFC,Midcap,Finance
20-02-2023,ALLCARGO,Midcap,Services
20-02-2023,TECHM,Largecap,I.T
20-02-2023,FSL,Midcap,I.T
20-02-2023,IDEA,Largecap,Telecom
20-02-2023,FORTIS,Largecap,Pharmaceuticals
20-02-2023,KPRMILL,Largecap,FMCG
20-02-2023,ADANIPORTS,Largecap,Realty
20-02-2023,IRB,Midcap,Realty
20-02-2023,ADANIPOWER,Largecap,Miscellaneous
20-02-2023,PERSISTENT,Largecap,I.T
20-02-2023,PRESTIGE,Largecap,Realty
20-02-2023,DALBHARAT,Largecap,Industrials
20-02-2023,APLLTD,Midcap,Pharmaceuticals
20-02-2023,TRITURBINE,Midcap,FMCG
20-02-2023,RHIM,Midcap,Industrials
20-02-2023,EQUITASBNK,Midcap,Bank
20-02-2023,HOMEFIRST,Midcap,Finance
20-02-2023,VMART,Smallcap,FMCG
20-02-2023,ANURAS,Midcap,Industrials
20-02-2023,KALYANKJIL,Largecap,Miscellaneous
20-02-2023,LODHA,Largecap,Realty
20-02-2023,SONACOMS,Largecap,Auto
20-02-2023,KIMS,Midcap,Pharmaceuticals
20-02-2023,ZOMATO,Largecap,I.T
20-02-2023,NYKAA,Largecap,I.T
20-02-2023,SAPPHIRE,Midcap,Quick Service Restaurant
20-02-2023,GOCOLORS,Midcap,Textiles
20-02-2023,STARHEALTH,Largecap,Services
20-02-2023,MAPMYINDIA,Midcap,I.T
20-02-2023,METROBRAND,Largecap,FMCG
20-02-2023,INTELLECT,Midcap,I.T
20-02-2023,GUJGASLTD,Largecap,Industrials
20-02-2023,CROMPTON,Midcap,FMCG
20-02-2023,BLS,Midcap,I.T
20-02-2023,ICICIPRULI,Largecap,Services
21-02-2023,ATUL,Largecap,Industrials
21-02-2023,EPL,Midcap,Services
21-02-2023,FINCABLES,Midcap,Industrials
21-02-2023,RAMCOCEM,Largecap,Industrials
21-02-2023,JINDALSAW,Midcap,Metals
21-02-2023,SKFINDIA,Largecap,Industrials
21-02-2023,BOSCHLTD,Largecap,Auto
21-02-2023,SIEMENS,Largecap,FMCG
21-02-2023,VOLTAS,Largecap,FMCG
21-02-2023,GLAXO,Largecap,Pharmaceuticals
21-02-2023,VTL,Midcap,Textiles
21-02-2023,ZENSARTECH,Midcap,I.T
21-02-2023,GMMPFAUDLR,Midcap,FMCG
21-02-2023,WESTLIFE,Midcap,Quick Service Restaurant
21-02-2023,MANYAVAR,Largecap,FMCG
21-02-2023,DELHIVERY,Largecap,Services
21-02-2023,NLCINDIA,Midcap,Miscellaneous
21-02-2023,SYRMA,Midcap,FMCG
21-02-2023,SYMPHONY,Midcap,FMCG
21-02-2023,ACI,Midcap,Industrials
21-02-2023,KAYNES,Midcap,FMCG
21-02-2023,RATNAMANI,Midcap,Metals
21-02-2023,ELGIEQUIP,Midcap,FMCG
21-02-2023,TEJASNET,Midcap,Telecom
21-02-2023,BLUEDART,Midcap,Services
21-02-2023,IEX,Midcap,Miscellaneous
21-02-2023,TIINDIA,Largecap,Auto
21-02-2023,NIACL,Largecap,Services
21-02-2023,AMBER,Midcap,FMCG
21-02-2023,BDL,Midcap,FMCG
21-02-2023,ORIENTELEC,Smallcap,FMCG
21-02-2023,RELAXO,Largecap,FMCG
21-02-2023,VARROC,Midcap,Auto
21-02-2023,CHALET,Midcap,Services
21-02-2023,POLYMED,Midcap,Pharmaceuticals
21-02-2023,CYIENT,Midcap,I.T
21-02-2023,MAHLIFE,Midcap,Realty
21-02-2023,CERA,Midcap,Industrials
21-02-2023,JSL,Largecap,Metals
21-02-2023,NTPC,Largecap,Miscellaneous
21-02-2023,SHOPERSTOP,Midcap,FMCG
21-02-2023,AIAENG,Largecap,Industrials
21-02-2023,SOLARINDS,Largecap,Industrials
21-02-2023,GPIL,Midcap,Metals
21-02-2023,ALLCARGO,Midcap,Services
21-02-2023,NAUKRI,Largecap,I.T
21-02-2023,TORNTPOWER,Largecap,Miscellaneous
21-02-2023,ASTRAL,Largecap,FMCG
21-02-2023,FORTIS,Largecap,Pharmaceuticals
21-02-2023,ECLERX,Midcap,I.T
21-02-2023,IRB,Midcap,Realty
21-02-2023,VGUARD,Midcap,FMCG
21-02-2023,ADANIPOWER,Largecap,Miscellaneous
21-02-2023,JUBLFOOD,Largecap,Quick Service Restaurant
21-02-2023,APLLTD,Midcap,Pharmaceuticals
21-02-2023,TRITURBINE,Midcap,FMCG
21-02-2023,EQUITASBNK,Midcap,Bank
21-02-2023,INDIGOPNTS,Midcap,Industrials
21-02-2023,KIMS,Midcap,Pharmaceuticals
21-02-2023,GRINFRA,Midcap,Realty
21-02-2023,NUVOCO,Midcap,Industrials
21-02-2023,CHEMPLASTS,Midcap,Industrials
21-02-2023,SHARDACROP,Smallcap,Industrials
21-02-2023,NYKAA,Largecap,I.T
21-02-2023,SAPPHIRE,Midcap,Quick Service Restaurant
21-02-2023,SYNGENE,Largecap,Pharmaceuticals
21-02-2023,QUESS,Midcap,Miscellaneous
21-02-2023,BLS,Midcap,I.T
22-02-2023,SFL,Midcap,Miscellaneous
22-02-2023,BLUESTARCO,Midcap,FMCG
22-02-2023,EPL,Midcap,Services
22-02-2023,FINCABLES,Midcap,Industrials
22-02-2023,KIRLFER,Midcap,Metals
22-02-2023,RAMCOCEM,Largecap,Industrials
22-02-2023,THERMAX,Largecap,FMCG
22-02-2023,VOLTAS,Largecap,FMCG
22-02-2023,BALKRISIND,Largecap,Auto
22-02-2023,VTL,Midcap,Textiles
22-02-2023,ZEEL,Largecap,Media
22-02-2023,PCBL,Midcap,Industrials
22-02-2023,SUPREMEIND,Largecap,FMCG
22-02-2023,NLCINDIA,Midcap,Miscellaneous
22-02-2023,HONAUT,Largecap,FMCG
22-02-2023,SYMPHONY,Midcap,FMCG
22-02-2023,ACI,Midcap,Industrials
22-02-2023,KAYNES,Midcap,FMCG
22-02-2023,CCL,Midcap,FMCG
22-02-2023,ALOKINDS,Midcap,Textiles
22-02-2023,ELGIEQUIP,Midcap,FMCG
22-02-2023,NSLNISP,Midcap,Metals
22-02-2023,KPIL,Midcap,FMCG
22-02-2023,JMFINANCIL,Midcap,Finance
22-02-2023,LINDEINDIA,Largecap,Industrials
22-02-2023,AUROPHARMA,Largecap,Pharmaceuticals
22-02-2023,GICRE,Largecap,Services
22-02-2023,NAM-INDIA,Largecap,Finance
22-02-2023,ISEC,Largecap,Services
22-02-2023,AAVAS,Midcap,Finance
22-02-2023,POLYMED,Midcap,Pharmaceuticals
22-02-2023,GAIL,Largecap,Industrials
22-02-2023,SAREGAMA,Midcap,Media
22-02-2023,CYIENT,Midcap,I.T
22-02-2023,APARINDS,Largecap,FMCG
22-02-2023,GLENMARK,Largecap,Pharmaceuticals
